id,audio_path,reference,reference_ms,whisper_pred,wav2vec_pred,wav2vec_finetuned_pred,wav2vec_lm_pred,Whisper_mt,wav2vec_mt,wav2vec_finetuned_mt,wav2vec_lm_mt
30,data/audio/test30.wav,i already told you yesterday you forgot is it,saya dah beritahu awak semalam awak lupa ke,i already told you yesterday you forgot is it,i already toll you yesa da you fegisi,i already toll you yesada you fogisi,ivalready tollyouyesada youfogisi,Saya sudah beritahu kamu semalam anda lupa itu,Saya sudah menagih anda Yessa da anda fegisi,Saya sudah menagih anda Yesada anda fogisi,Saya sudah tahu anda akan memilikinya.
31,data/audio/test31.wav,this food not bad lah but a bit expensive,makanan ini tak bad lah tapi agak mahal,"this would not bad lah, but it'd be expensive.",yes we not bad law budy bill expents him,yes we not badlaw bady bill expens him,yeswenot badlaw badybillexpes him,"Ini tidak akan buruk lah, tetapi ia akan mahal.",Ya kita tidak jahat undang-undang buddy Bill melupakannya,Ya kita tidak badlaw Bady Bill membelanjakan dia,"Ya, bukan jahat, tapi dia memalukan dia."
32,data/audio/test32.wav,you wait for me five minutes can or not,awak tunggu saya lima minit boleh tak,"wait for me if i miss, can i not?",wa for me fo mes can i not,wa for me fo mes can i not,waformefomes caninot,"Tunggu saya jika saya terlepas, boleh tak?",Wa untuk saya untuk mes saya tidak boleh,Wa untuk saya untuk mes saya tidak boleh,Waformefomes caninot
33,data/audio/test33.wav,i’m very tired today didn’t sleep well,saya sangat penat hari ini tak cukup tidur,"i'm very tired today, it isnt'l well.",iam very tired to deed insy well,i'm very tired to deed insy well,i'mverytired todeinsywel,"Saya sangat letih hari ini, ia tidak baik.",Saya sangat letih untuk melakukan baik dalamsy,Saya sangat letih untuk melakukan baik-baik dalamsy,Saya sudah berkhidmat untuk Todeinsywel
34,data/audio/test34.wav,that one i don’t really understand honestly,yang itu saya tak begitu faham sebenarnya,that one i don't really understand honestly.,thou and i don't reathe unditenanty,thou and i don't reathe unditenanty,thouwanidon't reteunditenanty,yang saya tak faham dengan jujur.,Kau dan aku tidak membaca tanpa keikhlasan,Kau dan aku tidak membaca tanpa keikhlasan,Kau tak akan kembali ke tempat yang baik.
35,data/audio/test35.wav,saya rasa assignment ni susah sikit lah,saya rasa assignment ini agak susah lah,sorry rashid's i'm always with nano,siasti as im any succescy now,ziasti as im any succescy now,ziastiasim anysuccescy now,Maaf Rashid. Saya sentiasa bersama Nano.,Siasti seperti im sebarang suksesi sekarang,Ziasti seperti im sebarang suksesi sekarang,Ziastiasim sekarang berjaya
36,data/audio/test36.wav,tadi dia cakap nak jumpa tapi tak confirm lagi,tadi dia kata nak jumpa tapi belum confirm lagi,he said that he saw活 de appreciated his family member.,the eady chacon as you would thepedegrophoni,the eady cacon as you would hepedegoponi,teedycacon asyou would epedegoponi,Dia berkata dia melihat Viv de menghargai ahli keluarganya.,"yang makan seperti yang anda lakukan, yang pedegrophoni",Cacon yang memakan seperti anda akan hepedegoponi,- Tidycacon seperti anda akan epedegoponi
37,data/audio/test37.wav,later kita pergi makan dulu then only discuss,nanti kita pergi makan dulu lepas itu bincang,"later, we'll take a break and discuss.",te te he tul be ma e leu dead an the discussed,le te he cul be ma eleu dead on the discussed,letehecube ludeadone discussd,"nanti, kita akan berehat dan berbincang.",Te he tul be ma e leu mati dan yang dibincangkan,Le te il cul être ma vous mort sur la discuti,Lethecube ludeadone dibincangkan
38,data/audio/test38.wav,i already submit the assignment tapi tak sure betul ke tak,saya dah hantar assignment tapi tak pasti betul atau tidak,i already submitted the assignment that we should have taken out.,i already summetis i made teve that she wuld dic it up,i already summetis i made teve that she wuld dic it up,ialreadysumeti imadevethat shewuddigit up,Saya sudah menyerahkan tugasan yang sepatutnya kami ambil.,Saya sudah bersumber saya membuat teve bahawa dia akan dicuk itu,Saya sudah bersumber saya membuat teve bahawa dia akan dicuk itu,Saya dah buat apa yang dia nak buat.
39,data/audio/test39.wav,kalau macam ni i think better we wait dulu,kalau macam ini saya rasa lebih baik kita tunggu dulu,"if this is the case, i think we will wait to look.",co no maconnie i think bet ting we me doyou,co no majony i think bet tin we me doyou,coomajony ithinkbetin,"Jika ini adalah kes, saya rasa kita akan menunggu untuk melihat.",Co No Maconnie Saya fikir saya bertaruh kita saya Doyou,Co no majony saya fikir bet kita boleh saya do you,bersama-sama dengan orang lain
40,data/audio/test40.wav,dia cakap nak datang but suddenly cancel,dia kata nak datang tapi tiba-tiba batal,he said he would be cancelled,de jacot night at them by san indikencil,di jacot night at them by san indikencil,dijacotnit atthem bysaindikencil,Dia kata dia akan dibatalkan,malam de jacot di mereka oleh San indicencil,Di jacot malam di mereka oleh San indicencil,Dia akan menembak mereka dengan tangan kecil.
41,data/audio/test41.wav,this one ah quite hard to explain,yang ini agak susah nak jelaskan,this one is quite hard to explain.,disin ar quite heartless blin,disin ar quite heartless blin,disuinarquite heartlessblin,Ini agak sukar untuk dijelaskan.,"""Disin"" adalah ""Blind"" yang tidak berhati-hati.","""Disin"" adalah ""Blind"" yang tidak berhati-hati.","""Menghina"""
42,data/audio/test42.wav,you see first then tell me how,awak tengok dulu lepas itu beritahu saya,you see first then tell me how,eusephus then tell me how,eusephus then tell me how,eusephus then tellmehow,"Kau lihat dulu, lalu beritahu bagaimana.",Eusephus kemudian beritahu saya bagaimana,Eusephus kemudian beritahu saya bagaimana,Eusephus kemudian beritahu saya bagaimana
43,data/audio/test43.wav,i not very sure about this one,saya tak begitu pasti tentang yang ini,i'm not very sure about this one.,i'm not a very sure about dis one,i'm not a very sure about dis one,i'mnotavery sureaboutdisone,Saya tidak begitu yakin tentang ini.,Saya tidak begitu yakin tentang Dis One,Saya tidak begitu yakin tentang Dis One,Saya tidak pasti tentang Disone
44,data/audio/test44.wav,why suddenly cannot work already,kenapa tiba-tiba tak boleh jalan pula,why suddenly can't work already?,why said any cot wick or ideed,why said any cot wick or ideed,why saidanycot wikorideed,Kenapa tiba-tiba tak boleh bekerja?,kenapa kata apa-apa bed wick atau idea,kenapa kata apa-apa bed wick atau idea,Kenapa kata apa-apa yang dia lakukan?
45,data/audio/test45.wav,you do finish already or still doing,awak dah siap atau masih buat lagi,you do finish already or still going?,you to finny shuridy or still go in,you to finny shurydy or still go in,youto finnyshurydy or'still goin,Adakah anda sudah selesai atau masih pergi?,anda untuk finny shuridy atau masih masuk,anda untuk Finny Shurydy atau masih masuk,Kau akan pergi ke Finland atau masih pergi
46,data/audio/test46.wav,that time he say can now change again,masa itu dia kata boleh sekarang tukar lagi,that time he say can now change again,let time he seek cain nol change again,let time he seek can nol change again,lettimeshe seekcain nol change again,masa itu dia kata sekarang boleh berubah lagi,Biarlah masa dia mencari Kain tidak berubah lagi,Biarlah masa yang dia cari tidak boleh berubah lagi,Lettimeshe mencaricain tiada perubahan lagi
47,data/audio/test47.wav,this one ah got problem somewhere,yang ini ada masalah dekat mana-mana,this one i got problems somewhere,disuennar got broem somewhere,disuenar got broem somewhere,disuennar gotbrodem somewhere,Saya ada masalah di suatu tempat.,Disuennar ada broem di suatu tempat,Disuenar ada broem di suatu tempat,Disuennar Gotbrodem di suatu tempat
48,data/audio/test48.wav,you try again slowly can or not,awak cuba lagi perlahan-lahan boleh tak,"you try again slowly, can or not?",you try again slowly cannon arm,you try again slowly cannonarm,you tryagain slowly cannonarm,"cuba lagi perlahan, boleh atau tidak?",cuba lagi perlahan-lahan lengan meriam,cuba lagi perlahan senjata meriam,Kau cuba perlahan-lahan menggunakan senjata meriam.
49,data/audio/test49.wav,this one memang confusing i also lost,yang ini memang mengelirukan saya pun lost,this one may be confusing. i also lost.,dis uan miman confusing i also was,disjuan miman confusing i also was,disjuanmiman confusing ialso was,Ini mungkin membingungkan. Saya juga kalah.,Dis uan miman membingungkan saya juga,Disjuan Miman membingungkan saya juga,disjuanmiman membingungkan juga
50,data/audio/test50.wav,you boleh explain again slower tak,awak boleh jelaskan lagi perlahan tak,"you will hear a splint again, slow it down.",you willyesplean again slower the dup,you willyesplean again slower the dup,youwillesplean again slowethedup,"anda akan mendengar bunyi bunyi lagi, perlahankan.",Kau akan membersihkannya lagi perlahan-lahan.,Kau akan membersihkannya lagi perlahan-lahan.,Kau ingin melompat lagi perlahan-lahan
51,data/audio/test51.wav,i thought dah betul but actually wrong,saya ingat dah betul tapi sebenarnya salah,i thought that was true but actually wrong,i thought ta itol varectually wrong,i thought ta bitol varecually wrong,ithoughtaitol varecually wrong,Saya fikir itu benar tetapi sebenarnya salah,Saya fikir anda salah secara sebenar,Saya fikir anda bodoh secara seksual salah,Walaupun dia salah secara seksual
52,data/audio/test52.wav,kalau like this then we redo everything,kalau macam ini kita buat semula semua,color like this then we redo everything,callonat dis then wedy re do everything,callonat dis then wedyre do everything,calonatdisthen wedyredo everything,warna seperti ini maka kita buat semula semuanya,panggil dia dan kemudian kita buat semua,panggil dia dan kemudian kita lakukan segalanya,"""Aku akan mencintaimu dan mencintaimu""."
53,data/audio/test53.wav,i check already tapi still got error,saya dah semak tapi masih ada error,"i checked already, the piece still got error",ichegoredi ta piste goereur,ichegoredi tapiste goereur,ichegoredi tapistegoereu,"Saya sudah memeriksa, bahagian masih mendapat kesilapan",I'chegoredi ta piste goereur,Ichegoredi tapiste goereur,Ichegoredi tapistegoereu
54,data/audio/test54.wav,maybe kita fix this part first,mungkin kita baiki bahagian ini dulu,maybe we fix this part first,maybe ke to fix tee put first slow,maybe ke to fix the sput first slow,maybekeeto fixthesput firstslow,Mungkin kita boleh perbaiki bahagian ini terlebih dahulu.,Mungkin saya perlu memperbaiki tee meletakkan perlahan,Mungkin saya perlu memperbaiki tembakan dahulu perlahan,mungkin perlu untuk memperbaiki masalah ini terlebih dahulu
55,data/audio/test55.wav,dia say okay but i rasa something off,dia kata okay tapi saya rasa macam ada yang tak kena,do you say okay but i rest something off?,do you see oqi but erasu something off,do you see oqi bu erasu something off,doyousee oqibueras something off,Awak cakap boleh tapi saya rehat sesuatu?,Adakah anda melihat Oqi tetapi erasu sesuatu off,Adakah anda melihat Oqi bu erasu sesuatu off,Adakah anda akan mencuci sesuatu off
56,data/audio/test56.wav,i try follow step tu but tak boleh,saya cuba ikut langkah itu tapi tak boleh,i try follow up step 2 but... i can't,i trifle or upstep too but at wol ned,i trifle or upstep too but at wo ned,trifleorupstep toobutawonee,Saya cuba untuk mengikuti langkah 2 tetapi... saya tidak boleh,Saya kecil atau naik juga tetapi di wol ned,Saya kecil atau naik juga tetapi pada Wo Ned,sedikit langkah ke atas untuk melihat
57,data/audio/test57.wav,i think this part is slightly wrong lah,saya rasa bahagian ini sedikit salah lah,i think this part is slightly wrong la.,i think despitely slightly wrong la,i think despitely slightly wrong la,ithink despitely slightly wronglah,Saya rasa bahagian ini agak salah La.,Saya rasa sedikit salah la,Saya rasa sedikit salah la,Saya rasa sedikit salah.
58,data/audio/test58.wav,the answer doesn’t really make sense,jawapan itu tak begitu masuk akal,the answer doesn't really make sense.,the answer does only make servants,the answer does only make servants,theanswer does only make servans,Jawapan itu tidak masuk akal.,Jawapan hanya menjadikan hamba,Jawapan hanya menjadikan hamba,Jawapan hanya membuat servans
59,data/audio/test59.wav,i might have done this wrongly tapi tengok lah,mungkin saya buat ini salah tapi tengoklah,i might have done this wrongly but look at this,i might have done this wrongly the pe thingola,i might have done this wrongly the pe thingola,imighthave done thiswronglythe pitingoa,Saya mungkin melakukan ini dengan salah tetapi lihat ini,Saya mungkin telah melakukan ini dengan salah.,Saya mungkin telah melakukan ini dengan salah.,Mungkin saya salah buat ini dengan lubang.
60,data/audio/test60.wav,this looks okay but i tak berapa sure,ini nampak okay tapi saya tak berapa pasti,this looks okay but i'm not sure,this looks o key but ai the abruptly shol,dis looks o key but ai the abruptly shol,dislooksokey butiabrupty shool,Ini nampak ok tapi saya tidak pasti,Ini kelihatan penting tetapi ia tiba-tiba akan jatuh,nampaknya tidak penting tetapi tiba-tiba akan,dislooksokey butybrutly shool
61,data/audio/test61.wav,we probably need to adjust this part sikit kot,kita mungkin perlu ubah bahagian ini sikit kot,we probably need to adjust this part ck code,we prob'bly meet to edge as these sparksy kick court,we prob'bly meet to edge as these sparksy kick court,we prob'bly meettoedge asthesparksy kickcourt,Kita mungkin perlu menyesuaikan bahagian ini kod CK,Kita mungkin bertemu dengan tepi sebagai ini sparks tendangan mahkamah,Kita mungkin bertemu dengan tepi sebagai ini sparks tendangan mahkamah,Kita mungkin bertemu di pinggir tempat bercak-cak.
